Book Name,Author,Rating,Customers_Rated,Price
Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,"11,626",₹ 195.00
Oswaal CBSE Sample Question Paper Class 10 Social Science Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.5 out of 5 stars,75,₹ 169.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.4 out of 5 stars,"25,205",₹ 201.00
101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,4.4 out of 5 stars,512,₹ 129.00
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.6 out of 5 stars,"7,545",₹ 211.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4 out of 5 stars,"40,462",₹ 299.00
How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,4.3 out of 5 stars,830,₹ 160.00
Environment By Shankar (7th) Revised Edition (2019-2020 Session),Shankar,4.3 out of 5 stars,"3,214",₹ 366.00
Oswaal CBSE Question Bank Class 10 Mathematics (Standard) (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,284,₹ 334.00
"Oswaal CBSE SAMPLE QUESTION PAPERS CLASS 10 (Set of 4 Books) Mathematics (Standard), Science, Social Science, English…",Oswaal Editorial Board,4.1 out of 5 stars,43,₹ 707.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"6,469",₹ 138.00
How to Prepare for Quantitative Aptitude for the CAT,Arun Sharma,4.5 out of 5 stars,"1,662",₹ 557.00
LUCENT'S GENERAL KNOWLEDGE WITH GENERAL KNOWLEDGE 2021 EDITION,LUCENT ARIHANT EXPERTS,3.8 out of 5 stars,105,₹ 169.00
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",Ramesh Singh,3.9 out of 5 stars,597,₹ 495.00
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4.6 out of 5 stars,"2,352",₹ 158.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"4,083",₹ 274.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"2,629",₹ 279.00
10 Years Solved Papers: ICSE Class 10 for 2021 Examination,Gurukul Books,4.4 out of 5 stars,220,₹ 595.00
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.4 out of 5 stars,"1,171",₹ 149.00
Kiran SSC Mathematics Chapterwise And Typewise Solved Papers 10500+ Objective Questions (English Medium) (3035),Think Tank of Kiran Institute of,4.1 out of 5 stars,151,₹ 430.00
The Magic of the Lost Temple,Sudha Murty,4.7 out of 5 stars,"1,606",₹ 140.00
